         3411122 function calls (3342073 primitive calls) in 14.481 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.006    0.000 __init__.py:1496(_add_data_doc)
       29    0.002    0.000    1.644    0.057 __init__.py:15(<module>)
       12    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:150(<dictcomp>)
        1    0.000    0.000    0.003    0.003 __init__.py:150(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
       12    0.000    0.000    0.002    0.000 __init__.py:1513(_flex_comp_method_FRAME)
        7    0.000    0.000    0.001    0.000 __init__.py:1516(handle)
       72    0.001    0.000    0.011    0.000 __init__.py:1525(_preprocess_data)
        8    0.000    0.000    0.000    0.000 __init__.py:1526(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:153(MergeError)
